epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1381.23,2.03167,2.08699,2.16145,0.54229,0.436,0.48781,0.1899,2.16794,1.88035,2.30406,0.000474413,0.000474413,0.000474413
2,1463.46,1.57553,1.69233,1.8082,0.59574,0.54727,0.55599,0.22261,2.10033,1.73378,2.27639,0.000903684,0.000903684,0.000903684
3,1545.88,1.52614,1.62893,1.76305,0.55025,0.53615,0.52882,0.21199,2.09123,1.8006,2.28508,0.0012858,0.0012858,0.0012858
4,1630.09,1.51904,1.59825,1.74012,0.48394,0.48986,0.46841,0.19339,2.15124,1.88745,2.34432,0.00121679,0.00121679,0.00121679
5,1715.78,1.47848,1.54514,1.71428,0.54278,0.46883,0.48423,0.20469,2.16808,1.87673,2.25123,0.00114606,0.00114606,0.00114606
6,1799.69,1.46858,1.51949,1.71586,0.58453,0.5959,0.58701,0.24779,2.00868,1.63919,2.17377,0.00107532,0.00107532,0.00107532
7,1883.46,1.43917,1.47162,1.6855,0.58579,0.61896,0.59353,0.25538,2.04141,1.57708,2.1768,0.00100459,0.00100459,0.00100459
8,1967.79,1.43238,1.43906,1.67689,0.54916,0.59269,0.57544,0.23937,2.07647,1.81404,2.28156,0.000933851,0.000933851,0.000933851
9,2053.4,1.39971,1.42105,1.66629,0.63752,0.59612,0.61451,0.25245,2.06192,1.61132,2.20893,0.000863116,0.000863116,0.000863116
10,2136.8,1.39414,1.37117,1.65467,0.62225,0.58068,0.61422,0.27664,2.01316,1.63166,2.18258,0.00079238,0.00079238,0.00079238
11,2219.6,1.4498,1.23907,1.78587,0.64874,0.61693,0.62693,0.27396,2.01228,1.50237,2.16981,0.000721645,0.000721645,0.000721645
12,2299.43,1.40316,1.14797,1.7466,0.69352,0.59374,0.65135,0.29087,1.99284,1.4659,2.1617,0.000650909,0.000650909,0.000650909
13,2380.18,1.37131,1.07808,1.71814,0.60069,0.62926,0.63421,0.28061,2.01221,1.4815,2.18747,0.000580174,0.000580174,0.000580174
14,2461.77,1.33512,1.04587,1.68963,0.65691,0.62823,0.64281,0.29048,1.97986,1.46081,2.15306,0.000509438,0.000509438,0.000509438
15,2544.39,1.30209,0.99033,1.66225,0.64109,0.62419,0.63962,0.293,2.00807,1.42129,2.17348,0.000438703,0.000438703,0.000438703
16,2626.74,1.27271,0.93717,1.63767,0.68283,0.61926,0.64228,0.29663,2.01195,1.44728,2.19636,0.000367967,0.000367967,0.000367967
17,2709.24,1.25762,0.88736,1.61491,0.68286,0.65535,0.66128,0.29347,2.02682,1.40602,2.25613,0.000297232,0.000297232,0.000297232
18,2792.13,1.23044,0.85991,1.59066,0.65594,0.63455,0.65659,0.29136,2.02283,1.42205,2.21493,0.000226497,0.000226497,0.000226497
19,2874.25,1.19524,0.83997,1.56556,0.69428,0.63323,0.66151,0.30342,2.00647,1.39994,2.21357,0.000155761,0.000155761,0.000155761
20,2955.38,1.17645,0.81011,1.54156,0.66803,0.64995,0.64961,0.29828,2.00698,1.4092,2.20348,8.50255e-05,8.50255e-05,8.50255e-05
